"";"Timestamp";"Gender";"Age";"City";"Profession";"Education";"Spread";"Emotion_Unbalance";"Places";"Holiday";"Counter";"Combat";"Equiped";"Safe";"Fear_Index";"Government_Efficiency";"Fear_on_Holiday";"Rumors_Impact";"NewSafeData";"NewAgeGroup";"NewEducation"
"88";"2/22/2017 20:57:39";"Male";"35-45";"Mumbai ";"Employee at an organisation";"Post Graduate";"4";"5";"2";"3";"4";"4";"4";"4";75;0,728949880578475;-0,130346436304092;0,426357911325681;"Unsafe";"35-45";"Post Graduate"
"89";"2/22/2017 20:58:47";"Male";"15-25";"Bangalore";"Employee at an organisation";"Graduate";"5";"1";"5";"2";"2";"5";"4";"2";65;0,650143250242804;0,510054046715836;-0,90865982279345;"Safe";"15-25";"Graduate"
"90";"2/22/2017 21:01:50";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Post Graduate";"5";"5";"5";"3";"4";"4";"4";"3";82,5;0,522087319492471;1,23610800838198;0,0825297157374114;"Neutral";"15-25";"Post Graduate"
"91";"2/22/2017 21:01:58";"Male";"25-35";"Mumbai ";"Unemployed";"Post Graduate";"4";"4";"5";"4";"3";"4";"5";"3";80;0,646421934037086;0,255570999868682;0,922224968648564;"Neutral";"25-35";"Post Graduate"
"92";"2/22/2017 21:02:20";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Post Graduate";"4";"4";"5";"3";"1";"3";"3";"3";65;-0,776566183024527;0,206191708172439;0,248838816874044;"Neutral";"15-25";"Post Graduate"
"93";"2/22/2017 21:02:46";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Masters";"4";"3";"5";"2";"4";"2";"4";"2";65;-0,316340446991923;0,0460581656002727;-0,746458627194702;"Safe";"15-25";"Post Graduate"
"94";"2/22/2017 21:03:21";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Masters";"4";"5";"3";"2";"4";"4";"3";"2";67,5;0,255974878647302;0,0282135784614717;-0,685551436231059;"Safe";"15-25";"Post Graduate"
"95";"2/22/2017 21:08:08";"Male";"25-35";"Dubai";"Employee at an organisation";"Graduate";"4";"4";"5";"3";"4";"4";"4";"3";77,5;0,6068696790878;0,211852925136605;0,238657633698095;"Neutral";"25-35";"Graduate"
"96";"2/22/2017 21:08:26";"Male";"15-25";"Mumbai ";"Student";"UnderGraduate";"3";"4";"4";"1";"5";"2";"4";"2";62,5;0,065459454489336;-0,906413278305533;-1,19102584447895;"Safe";"15-25";"UnderGraduate"
"97";"2/22/2017 21:10:22";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Graduate";"3";"5";"5";"3";"4";"5";"5";"4";85;1,61277044021324;-0,602522022403737;0,782155688451149;"Unsafe";"15-25";"Graduate"
"98";"2/22/2017 21:10:42";"Male";"15-25";"Mumbai ";"Student";"Graduate";"4";"3";"5";"2";"2";"4";"4";"2";65;0,24108016354745;-0,0405905988630238;-0,644246977873836;"Safe";"15-25";"Graduate"
"99";"2/22/2017 21:10:43";"Male";"15-25";"Mumbai ";"Student";"UnderGraduate";"4";"4";"5";"4";"5";"4";"4";"3";82,5;0,67232514126895;0,328812113349219;0,855419755395908;"Neutral";"15-25";"UnderGraduate"
"100";"2/22/2017 21:12:18";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Post Graduate";"4";"4";"5";"3";"3";"4";"4";"3";75;0,41843155174205;0,191481806357213;0,260006337212935;"Neutral";"15-25";"Post Graduate"
"101";"2/22/2017 21:13:25";"Male";"25-35";"Mumbai ";"Self Employed";"Post Graduate";"2";"2";"1";"2";"4";"4";"4";"3";55;0,912996097412693;-2,54299541538512;-0,220251909941686;"Neutral";"25-35";"Post Graduate"
"102";"2/22/2017 21:14:09";"Male";"45-55";"Mumbai ";"Employee at an organisation";"Post Graduate";"5";"4";"5";"2";"4";"4";"5";"2";77,5;0,88414710610326;0,99190784601938;-0,818964496641223;"Safe";"45-55";"Post Graduate"
